Date,Weighted_CPI,CPI_pct_change,CPI_yoy_change,Month,Year,Is_start_of_year,Lag_1,Lag_2,Lag_3,CPI_roll_mean_3,CPI_roll_std_3,Month_sin,Month_cos
2017-09-01,135.06019826517965,-0.4426452832884342,2.6965074440979953,9,2017,0,135.66069392812886,134.3206567534077,131.97071871127636,135.0138496489054,0.6712198247080599,-1.0,-1.8369701987210297e-16
2017-10-01,135.82510532837668,0.5663452838231331,2.8724472375759147,10,2017,0,135.06019826517965,135.66069392812886,134.3206567534077,135.5153325072284,0.4026389956850887,-0.8660254037844386,0.5000000000000001
2017-11-01,137.2275960346964,1.0325710426868362,4.181349448032767,11,2017,0,135.82510532837668,135.06019826517965,135.66069392812886,136.03763320941758,1.0992176072055837,-0.5000000000000004,0.8660254037844384
2017-12-01,136.44027261462205,-0.5737354896716895,4.502199146156904,12,2017,0,137.2275960346964,135.82510532837668,135.06019826517965,136.49765799256502,0.7030041653709589,-2.4492935982947064e-16,1.0
2018-01-01,135.9170879801735,-0.38345323152958466,4.364424648347809,1,2018,1,136.44027261462205,137.2275960346964,135.82510532837668,136.5283188764973,0.6596756387910492,0.49999999999999994,0.8660254037844387
2018-02-01,135.12750929368028,-0.5809267239513027,3.6328356200470147,2,2018,0,135.9170879801735,136.44027261462205,137.2275960346964,135.82828996282527,0.6608711675627266,0.8660254037844386,0.5000000000000001
2018-03-01,135.22579925650558,0.07273867722350502,3.594850939891159,3,2018,0,135.12750929368028,135.9170879801735,136.44027261462205,135.4234655101198,0.43030522469989757,1.0,6.123233995736766e-17
2018-05-01,136.55085501858736,0.9798838456619663,4.401514684268859,5,2018,0,135.22579925650558,135.12750929368028,135.9170879801735,135.63472118959106,0.7949157965917627,0.49999999999999994,-0.8660254037844387
2018-06-01,137.58612143742258,0.758154475630568,4.977943021536602,6,2018,0,136.55085501858736,135.22579925650558,135.12750929368028,136.4542585708385,1.1831222906867782,1.2246467991473532e-16,-1.0
2018-07-01,138.82903345724907,0.9033701995820875,5.196845794995797,7,2018,0,137.58612143742258,136.55085501858736,135.22579925650558,137.65533663775298,1.1406652916446263,-0.4999999999999997,-0.8660254037844388
2018-08-01,139.3426641883519,0.3699735698736273,3.7388198928805627,8,2018,0,138.82903345724907,137.58612143742258,136.55085501858736,138.5859396943412,0.903150896657566,-0.8660254037844385,-0.5000000000000004
2018-10-01,139.14410161090458,-0.1424994839907212,2.5677354154042487,10,2018,0,139.3426641883519,138.82903345724907,137.58612143742258,139.10526641883519,0.2590082259114459,-0.8660254037844386,0.5000000000000001
2018-11-01,139.07998760842628,-0.046077413081868634,2.9762945670745333,11,2018,0,139.14410161090458,139.3426641883519,138.82903345724907,139.18891780256092,0.1369529652306543,-0.5000000000000004,0.8660254037844384
2018-12-01,138.52887236679058,-0.3962577586556493,1.9906239217537536,12,2018,0,139.07998760842628,139.14410161090458,139.3426641883519,138.91765386204048,0.33821729644447784,-2.4492935982947064e-16,1.0
2019-01-01,137.9919083023544,-0.38761888064346994,0.5569668854832566,1,2019,1,138.52887236679058,139.07998760842628,139.14410161090458,138.53358942585712,0.5440549899223213,0.49999999999999994,0.8660254037844387
2019-02-01,138.2159107806691,0.16233015476811996,1.3014032675399134,2,2019,0,137.9919083023544,138.52887236679058,139.07998760842628,138.2455638166047,0.26970739427825746,0.8660254037844386,0.5000000000000001
2019-03-01,138.7112639405204,0.358390837244027,2.0557944566576447,3,2019,0,138.2159107806691,137.9919083023544,138.52887236679058,138.30636100784798,0.368108769573745,1.0,6.123233995736766e-17
2019-04-01,139.50857496902103,0.5747990508128575,3.2421715594706413,4,2019,0,138.7112639405204,138.2159107806691,137.9919083023544,138.8119165634035,0.6521835545542399,0.8660254037844387,-0.4999999999999998
2019-05-01,140.4695539033457,0.688831446051319,3.877776781998099,5,2019,0,139.50857496902103,138.7112639405204,138.2159107806691,139.56313093762904,0.8804136321213756,0.49999999999999994,-0.8660254037844387
2019-06-01,141.59285006195788,0.7996723328281385,3.6923936087285503,6,2019,0,140.4695539033457,139.50857496902103,138.7112639405204,140.52365964477488,1.0431904136828343,1.2246467991473532e-16,-1.0
2019-07-01,143.1173110285006,1.076651092110703,4.020165357734684,7,2019,0,141.59285006195788,140.4695539033457,139.50857496902103,141.72657166460138,1.3289339895987589,-0.4999999999999997,-0.8660254037844388
2019-08-01,144.0729368029739,0.6677220020455898,3.777238244145553,8,2019,0,143.1173110285006,141.59285006195788,140.4695539033457,142.9276992978108,1.2508685050998167,-0.8660254037844385,-0.5000000000000004
2019-09-01,144.86399008674104,0.5490644539639877,3.9624087357235105,9,2019,0,144.0729368029739,143.1173110285006,141.59285006195788,144.01807930607185,0.8746307459990772,-1.0,-1.8369701987210297e-16
2019-10-01,146.49001239157374,1.122447548116745,5.279354780852219,10,2019,0,144.86399008674104,144.0729368029739,143.1173110285006,145.1423130937629,1.2323397958467566,-0.8660254037844386,0.5000000000000001
2019-11-01,147.88758364312267,0.954038591937012,6.332755837952608,11,2019,0,146.49001239157374,144.86399008674104,144.0729368029739,146.41386204047916,1.5132345011679147,-0.5000000000000004,0.8660254037844384
2019-12-01,150.1214869888476,1.5105415145031609,8.3683743496898,12,2019,0,147.88758364312267,146.49001239157374,144.86399008674104,148.166361007848,1.831717650723344,-2.4492935982947064e-16,1.0
2020-01-01,149.66372986369268,-0.3049244544113372,8.458337669890126,1,2020,1,150.1214869888476,147.88758364312267,146.49001239157374,149.22426683188766,1.1800113799240548,0.49999999999999994,0.8660254037844387
2020-02-01,147.96484510532835,-1.1351345846529415,7.053409603565508,2,2020,0,149.66372986369268,150.1214869888476,147.88758364312267,149.25002065262288,1.1362845316767871,0.8660254037844386,0.5000000000000001
2020-03-01,147.22459727385376,-0.5002862882380277,6.1374491814766285,3,2020,0,147.96484510532835,149.66372986369268,150.1214869888476,148.28439074762494,1.250569474613213,1.0,6.123233995736766e-17
2020-04-01,151.14442357360883,2.662480572090664,8.340597420030726,4,2020,0,147.22459727385376,147.96484510532835,149.66372986369268,148.77795531759696,2.0825755011600853,0.8660254037844387,-0.4999999999999998
2020-05-01,151.67084415584415,0.34828978124947785,7.974176567974167,5,2020,0,151.14442357360883,147.22459727385376,147.96484510532835,150.0132883344356,2.429378116077102,0.49999999999999994,-0.8660254037844387
2020-06-01,150.86115241635687,-0.5338479811289987,6.545741787345483,6,2020,0,151.67084415584415,151.14442357360883,147.22459727385376,151.2254733819366,0.41088560673018754,1.2246467991473532e-16,-1.0
2020-07-01,154.0257249070632,2.097672223776015,7.622008686559423,7,2020,0,150.86115241635687,151.67084415584415,151.14442357360883,152.18590715975475,1.6439577810055577,-0.4999999999999997,-0.8660254037844388
2020-08-01,154.68692688971498,0.4292802277351626,7.367094974440747,8,2020,0,154.0257249070632,150.86115241635687,151.67084415584415,153.19126807104502,2.0448413724857506,-0.8660254037844385,-0.5000000000000004
2020-09-01,156.77624535315985,1.35067552601551,8.22306168654201,9,2020,0,154.68692688971498,154.0257249070632,150.86115241635687,155.162965716646,1.435722955397278,-1.0,-1.8369701987210297e-16
2020-11-01,159.3621685254027,1.6494355802549654,8.787053754505237,11,2020,0,156.77624535315985,154.68692688971498,154.0257249070632,156.94178025609253,2.342012476713088,-0.5000000000000004,0.8660254037844384
2020-12-01,157.26094175960347,-1.3185229501092577,6.338164358070975,12,2020,0,159.3621685254027,156.77624535315985,154.68692688971498,157.799785212722,1.3745958909469096,-2.4492935982947064e-16,1.0
2021-01-01,155.60474597273853,-1.0531513854194485,3.652547742414969,1,2021,1,157.26094175960347,159.3621685254027,156.77624535315985,157.40928541924825,1.8830986274836918,0.49999999999999994,0.8660254037844387
2021-02-01,155.6022304832714,-0.0016165891672526023,3.9678956451153935,2,2021,0,155.60474597273853,157.26094175960347,159.3621685254027,156.1559727385378,0.9569320691951817,0.8660254037844386,0.5000000000000001
2021-03-01,155.6158983890954,0.008783875257800666,5.170858847127291,3,2021,0,155.6022304832714,155.60474597273853,157.26094175960347,155.60762494836845,0.007274564196592238,1.0,6.123233995736766e-17
2021-04-01,156.74577447335813,0.7260672565971626,6.467110371369489,4,2021,0,155.6158983890954,155.6022304832714,155.60474597273853,155.9879677819083,0.6563154265391439,0.8660254037844387,-0.4999999999999998
2021-05-01,159.46301115241633,1.7335310557414996,5.503734363548163,5,2021,0,156.74577447335813,155.6158983890954,155.6022304832714,157.2748946716233,1.9773834457640878,0.49999999999999994,-0.8660254037844387
2021-06-01,160.7246468401487,0.7911776396386294,5.969375811610589,6,2021,0,159.46301115241633,156.74577447335813,155.6158983890954,158.97781082197437,2.0333275309929526,1.2246467991473532e-16,-1.0
2021-07-01,162.03104089219332,0.8128150086053276,7.404085343991684,7,2021,0,160.7246468401487,159.46301115241633,156.74577447335813,160.73956629491946,1.2840798762881884,-0.4999999999999997,-0.8660254037844388
2021-08-01,162.30339529120198,0.16808779201133994,5.374212904456965,8,2021,0,162.03104089219332,160.7246468401487,159.46301115241633,161.68636100784798,0.8439282166899169,-0.8660254037844385,-0.5000000000000004
2021-09-01,162.57006195786866,0.16430134821778797,5.096187006012487,9,2021,0,162.30339529120198,162.03104089219332,160.7246468401487,162.30149938042132,0.2695155341794984,-1.0,-1.8369701987210297e-16
2021-10-01,165.0934820322181,1.5522046580774607,5.305163840556681,10,2021,0,162.57006195786866,162.30339529120198,162.03104089219332,163.32231309376292,1.5396614349214588,-0.8660254037844386,0.5000000000000001
2021-11-01,166.46964064436185,0.833563260768333,4.459949425089693,11,2021,0,165.0934820322181,162.57006195786866,162.30339529120198,164.7110615448162,1.9777165001388988,-0.5000000000000004,0.8660254037844384
2021-12-01,165.89263940520442,-0.3466104912126955,5.488773975928352,12,2021,0,166.46964064436185,165.0934820322181,162.57006195786866,165.8185873605948,0.6910614375166142,-2.4492935982947064e-16,1.0
2022-01-01,165.25741016109043,-0.38291587040362174,6.203322480949924,1,2022,1,165.89263940520442,166.46964064436185,165.0934820322181,165.8732300702189,0.6063482727373579,0.49999999999999994,0.8660254037844387
2022-02-01,165.5018215613383,0.14789739232243804,6.362113863869823,2,2022,0,165.25741016109043,165.89263940520442,166.46964064436185,165.55062370921107,0.3204142402690954,0.8660254037844386,0.5000000000000001
2022-03-01,167.2560966542751,1.0599732839113418,7.480082938617905,3,2022,0,165.5018215613383,165.25741016109043,165.89263940520442,166.00510945890127,1.0902572886157307,1.0,6.123233995736766e-17
2022-04-01,169.53117719950433,1.360237737660408,8.156776646198738,4,2022,0,167.2560966542751,165.5018215613383,165.25741016109043,167.4296984717059,2.0202796608294857,0.8660254037844387,-0.4999999999999998
2022-05-01,171.31235439900863,1.050648753183725,7.430778561723361,5,2022,0,169.53117719950433,167.2560966542751,165.5018215613383,169.36654275092937,2.0331343042615972,0.49999999999999994,-0.8660254037844387
2022-06-01,172.37718711276332,0.6215738015453054,7.250002100924724,6,2022,0,171.31235439900863,169.53117719950433,167.2560966542751,171.07357290375876,1.4379518623520071,1.2246467991473532e-16,-1.0
2022-07-01,172.89760842627012,0.30190846145223826,6.706472706860422,7,2022,0,172.37718711276332,171.31235439900863,169.53117719950433,172.19571664601403,0.8080570712875572,-0.4999999999999997,-0.8660254037844388
2022-08-01,173.93348203221808,0.5991254681753988,7.165645992894731,8,2022,0,172.89760842627012,172.37718711276332,171.31235439900863,173.06942585708384,0.79224642076977,-0.8660254037844385,-0.5000000000000004
2022-09-01,175.11157372986366,0.6773231259909807,7.714527275781702,9,2022,0,173.93348203221808,172.89760842627012,172.37718711276332,173.98088806278398,1.1077436933573859,-1.0,-1.8369701987210297e-16
2022-10-01,176.46717472118956,0.7741355767935332,6.889243929540401,10,2022,0,175.11157372986366,173.93348203221808,172.89760842627012,175.17074349442376,1.2678822722590357,-0.8660254037844386,0.5000000000000001
2022-11-01,176.11172242874844,-0.20142686196610304,5.792096232721189,11,2022,0,176.46717472118956,175.11157372986366,173.93348203221808,175.89682362660054,0.7028866432700912,-0.5000000000000004,0.8660254037844384
2022-12-01,175.11288723667906,-0.567159969986375,5.557960777845916,12,2022,0,176.11172242874844,176.46717472118956,175.11157372986366,175.8972614622057,0.7021529586182792,-2.4492935982947064e-16,1.0
2023-01-01,175.86981412639406,0.4322508192626362,6.421741666506109,1,2023,1,175.11288723667906,176.11172242874844,176.46717472118956,175.69814126394053,0.5210773589396033,0.49999999999999994,0.8660254037844387
2023-02-01,176.12149938042128,0.14310884177448635,6.416653133420125,2,2023,0,175.86981412639406,175.11288723667906,176.11172242874844,175.70140024783146,0.5249733707423644,0.8660254037844386,0.5000000000000001
2023-03-01,176.63806691449813,0.2933018035243151,5.609344261821403,3,2023,0,176.12149938042128,175.86981412639406,175.11288723667906,176.20979347377116,0.39166308453926435,1.0,6.123233995736766e-17
2023-04-01,177.55083023543992,0.5167421365540825,4.730488614786221,4,2023,0,176.63806691449813,176.12149938042128,175.86981412639406,176.77013217678643,0.7237593511640753,0.8660254037844387,-0.4999999999999998
2023-05-01,178.43059479553904,0.49550011055004006,4.155123792152837,5,2023,0,177.55083023543992,176.63806691449813,176.12149938042128,177.53983064849237,0.8963145621124068,0.49999999999999994,-0.8660254037844387
2023-06-01,180.9218711276332,1.3962158983715112,4.956969166273861,6,2023,0,178.43059479553904,177.55083023543992,176.63806691449813,178.96776538620406,1.7485403503519286,1.2246467991473532e-16,-1.0
2023-07-01,187.15562577447332,3.445550616952464,8.246509294131354,7,2023,0,180.9218711276332,178.43059479553904,177.55083023543992,182.1693638992152,4.494298616824941,-0.4999999999999997,-0.8660254037844388
2023-08-01,186.832614622057,-0.17258960348087715,7.416129683098971,8,2023,0,187.15562577447332,180.9218711276332,178.43059479553904,184.97003717472117,3.509532776557937,-0.8660254037844385,-0.5000000000000004
2023-09-01,184.97998760842623,-0.9915972205272849,5.635500651593772,9,2023,0,186.832614622057,187.15562577447332,180.9218711276332,186.32274266831882,1.1740218968518945,-1.0,-1.8369701987210297e-16
2023-10-01,186.16521685254023,0.6407337677105662,5.495663511739868,10,2023,0,184.97998760842623,186.832614622057,187.15562577447332,185.99260636100783,0.9382976602549749,-0.8660254037844386,0.5000000000000001
2023-11-01,187.39639405204463,0.6613357856637636,6.407677733015049,11,2023,0,186.16521685254023,184.97998760842623,186.832614622057,186.18053283767037,1.2082760279553248,-0.5000000000000004,0.8660254037844384
2023-12-01,186.79270136307312,-0.32214744153713504,6.669876963771304,12,2023,0,187.39639405204463,186.16521685254023,184.97998760842623,186.784770755886,0.6156269122069522,-2.4492935982947064e-16,1.0
2024-01-01,186.3593432465923,-0.2319994910499723,5.964371528055179,1,2024,1,186.79270136307312,187.39639405204463,186.16521685254023,186.84947955390336,0.5208516252049143,0.49999999999999994,0.8660254037844387
2024-02-01,186.6002602230483,0.1292755019732139,5.94973406397874,2,2024,0,186.3593432465923,186.79270136307312,187.39639405204463,186.58410161090455,0.21713046730161714,0.8660254037844386,0.5000000000000001
2024-03-01,186.9986864931846,0.21351860370399933,5.865451179162617,3,2024,0,186.6002602230483,186.3593432465923,186.79270136307312,186.65276332094174,0.3228891113028574,1.0,6.123233995736766e-17
2024-04-01,188.06076827757124,0.5679621628921661,5.919396731738558,4,2024,0,186.9986864931846,186.6002602230483,186.3593432465923,187.21990499793472,0.7549663333256873,0.8660254037844387,-0.4999999999999998
2024-05-01,189.00128872366795,0.5001151780410273,5.9242608815162745,5,2024,0,188.06076827757124,186.9986864931846,186.6002602230483,188.02024783147462,1.0019158414201907,0.49999999999999994,-0.8660254037844387
2024-06-01,192.23111524163568,1.708891267238899,6.250899376352481,6,2024,0,189.00128872366795,188.06076827757124,186.9986864931846,189.76439074762493,2.1873938772855155,1.2246467991473532e-16,-1.0
2024-07-01,195.53083023543988,1.7165353224197988,4.4749947677548585,7,2024,0,192.23111524163568,189.00128872366795,188.06076827757124,192.25441140024782,3.2648330924769735,-0.4999999999999997,-0.8660254037844388
2024-08-01,195.4316109045849,-0.05074357365307813,4.602513485090798,8,2024,0,195.53083023543988,192.23111524163568,189.00128872366795,194.39785212722015,1.8771048631890115,-0.8660254037844385,-0.5000000000000004
2024-09-01,196.9329491945477,0.768216709166758,6.461759318215554,9,2024,0,195.4316109045849,195.53083023543988,192.23111524163568,195.96513011152413,0.8396228034015463,-1.0,-1.8369701987210297e-16
2024-10-01,199.8782527881041,1.495587003395138,7.3660569720851,10,2024,0,196.9329491945477,195.4316109045849,195.53083023543988,197.4142709624122,2.2620585742242603,-0.8660254037844386,0.5000000000000001
2024-11-01,199.50661710037173,-0.18593102678676754,6.46235649815321,11,2024,0,199.8782527881041,196.9329491945477,195.4316109045849,198.77260636100786,1.6039894446876837,-0.5000000000000004,0.8660254037844384
2024-12-01,198.20242874845104,-0.6537068147792535,6.108229766001716,12,2024,0,199.50661710037173,199.8782527881041,196.9329491945477,199.19576621230897,0.8800953124043152,-2.4492935982947064e-16,1.0
2025-01-01,195.6571375464684,-1.284187695405592,4.989175287859426,1,2025,1,198.20242874845104,199.50661710037173,199.8782527881041,197.7887277984304,1.9578009515794261,0.49999999999999994,0.8660254037844387
2025-02-01,194.1914126394052,-0.7491292806607097,4.068136029008196,2,2025,0,195.6571375464684,198.20242874845104,199.50661710037173,196.0169929781082,2.029577420426815,0.8660254037844386,0.5000000000000001
2025-03-01,193.71840148698885,-0.24357985041011387,3.5934557187647265,3,2025,0,194.1914126394052,195.6571375464684,198.20242874845104,194.52231722428746,1.0108401259810387,1.0,6.123233995736766e-17
2025-04-01,194.0544609665427,0.17347834639056536,3.187104223739512,4,2025,0,193.71840148698885,194.1914126394052,195.6571375464684,193.9880916976456,0.2433897028589943,0.8660254037844387,-0.4999999999999998
